Locs,long,lat,locale
FJ997662,-118.1935,37.2434,west
FJ997680,-110.3108333,24.14222222,west
FJ997681,-116,36.66,east
FJ997683,-121.4461,37.396487,west
FJ997684,-121.507991,37.428681,west
FJ997686,-109.0785,31.767,west
FJ997688,-120.4720332,36.0024687,west
FJ997689,-121.5625034,39.7852948,west
FJ997690,-122.5040187,38.7217004,west
FJ997691,-122.4448664,38.4846921,west
FJ997692,-109.1408,31.9223,west
FJ997693,-118.27147,37.406986,west
FJ997694,-121.9913087,40.4416792,west
FJ997695,-122.2695,37.85442,west
FJ997696,-123.0234001,38.6932765,west
FJ997698,-109.03377,31.8319781,west
FJ997699,-120.8573,36.7589,west
FJ997700,-122.1754448,37.8718423,west
FJ997701,-111.2172,32.173,west
FJ997702,-122.37693,39.01483,west
FJ997704,-122.08156,37.90145,west
FJ997706,-122.22034,37.875217,west
FJ997707,-119.281695,35.077428,west
FJ997711,-110.892519,32.308473,west
FJ997722,-118.407,34.138,west
FJ997723,-117.077,32.653,west
FJ997733,-116.91405,33.01717,west
FJ997734,-116.83195,32.96905,west
FJ997735,-117.03211,33.08272,west
FJ997736,-117.03228,33.08237,west
FJ997737,-117.19734,33.04214,west
FJ997738,-116.87077,33.04513,west
FJ997739,-116.82633,32.67323,west
FJ997740,-110.21821,23.86315,west
FJ997741,-116.98663,32.79669,west
FJ997742,-116.41678,31.571,west
FJ997743,-114.11235,28.81258,west
FJ997744,-110.12982,23.26987,west
FJ997745,-116.07977,30.96807,west
FJ997746,-115.9414,30.94013,west
FJ997747,-115.95815,30.93513,west
FJ997748,-117.007281,32.832425,west
FJ997749,-103.2375,30.1648,east
FJ997751,-110.973527,31.769769,west
FJ997752,-111.304284,32.445009,west
FJ997753,-109.178561,32.25221,west
FJ997768,-103.99207,30.53981,east
FJ997769,-118.4205555,35.6825,west
FJ997770,-106.73672,34.65897,east
FJ997771,-106.75237,34.56257,east
FJ997773,-106.73636,34.62846,east
FJ997774,-106.73636,34.62846,east
FJ997776,-105.18632,24.482546,east
FJ997777,-109.204933,31.632183,west
FJ997778,-109.106117,31.905567,west
FJ997779,-109.107783,31.883767,west
FJ997782,-108.882733,31.943483,west
FJ997784,-109.514276,32.073265,west
FJ997788,-108.80838,31.76093,west
FJ997789,-108.80838,31.76093,west
FJ997791,-109.03442,37.32573,west
FJ997793,-109.71626,32.73693,west
FJ997794,-109.88992,32.60003,west
FJ997795,-107.65153,31.82427,east
FJ997796,-106.9903,32.53405,east
FJ997797,-106.93865,32.49825,east
FJ997798,-108.37973,31.77181,east
FJ997799,-109.34418,31.4864,west
FJ997814,-105.651339,31.13548,east
FJ997820,-104.645833,30.6125,east
FJ997821,-105.650526,31.135735,east
FJ997826,-117.95538,35.84938,west
FJ997827,-121.772027,37.811388,west
FJ997828,-121.897805,37.837861,west
FJ997829,-121.769472,37.810361,west
FJ997830,-121.768388,37.809972,west
FJ997831,-121.777055,37.814277,west
FTB3029,-108.940854,32.129911,east
FTB3035,-108.8799583,31.9426722,west